ONo,Name,Desc,Url,Nb Tech,Nb Topics,Org link,Guidance link
133,TensorFlow,TensorFlow is a ML framework for everyone.,https://summerofcode.withgoogle.com/programs/2022/organizations/tensorflow,1,1
134,SCoRe Lab,SCoRe Lab develops FOSS softwares for everyone!!!,https://summerofcode.withgoogle.com/programs/2022/organizations/score-lab,3,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
135,MetaBrainz Foundation Inc,"Open music / book metadata, music recommendations",https://summerofcode.withgoogle.com/programs/2022/organizations/metabrainz-foundation-inc,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
136,Swift,"Fast, safe, and expressive programming language",https://summerofcode.withgoogle.com/programs/2022/organizations/swift,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
137,Drupal Association,The best open source digital experience platform,https://summerofcode.withgoogle.com/programs/2022/organizations/drupal-association,5,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
138,Genome Assembly and Annotation,Providing freely accessible genomic data,https://summerofcode.withgoogle.com/programs/2022/organizations/genome-assembly-and-annotation,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
139,Audacity,"Free, open source, cross-platform audio software",https://summerofcode.withgoogle.com/programs/2022/organizations/audacity,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
140,Open Technologies Alliance - GFOSS,Promote Open Standards and Open Source,https://summerofcode.withgoogle.com/programs/2022/organizations/open-technologies-alliance-gfoss,5,1
141,Cuneiform Digital Library Initiative (CDLI),Curating humanity's oldest written sources,https://summerofcode.withgoogle.com/programs/2022/organizations/cuneiform-digital-library-initiative-cdli,4,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
142,cBioPortal for Cancer Genomics,Aid discovery in complex cancer genomics data,https://summerofcode.withgoogle.com/programs/2022/organizations/cbioportal-for-cancer-genomics,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
143,Jenkins,"Jenkins, build great things at any scale",https://summerofcode.withgoogle.com/programs/2022/organizations/jenkins-wp,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
145,Homebrew,The Missing Package Manager for macOS (or Linux),https://summerofcode.withgoogle.com/programs/2022/organizations/homebrew,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
146,Joomla!,The flexible platform empowering website creators.,https://summerofcode.withgoogle.com/programs/2022/organizations/joomla,6,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
147,Open Bioinformatics Foundation (OBF),Open Source & Open Science in biological research,https://summerofcode.withgoogle.com/programs/2022/organizations/open-bioinformatics-foundation-obf,6,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
149,FreeType,FreeType is a software library to render fonts.,https://summerofcode.withgoogle.com/programs/2022/organizations/freetype,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
150,Micro Electronics Research Lab - UITU,Accelerating Engineering Innovation,https://summerofcode.withgoogle.com/programs/2022/organizations/micro-electronics-research-lab-uitu,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
151,Open Chemistry,Advancing Open Source & Open Science for Chemistry,https://summerofcode.withgoogle.com/programs/2022/organizations/open-chemistry,4,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
